Package |	License	|Source of License Information|	Comments|	License/Copyright Links/References
libatk1.0-0 |	 LGPL-2.0	|WICC4D CLI|	NA|	NA
libatk1.0-data |	 LGPL-2.0	|WICC4D CLI|	NA|	NA
libatomic1 |	GPL-3+	|openhub.net|	Part of gcc-5 - GNU Compiler Collection|	https://www.openhub.net/p/gcc
libavahi-client3 |	BSD-3-Clause	|WICC4D CLI|	NA|	NA
libavahi-common3 |	BSD-3-Clause	|WICC4D CLI|	NA|	NA
libavahi-common-data |	BSD-3-Clause	|WICC4D CLI|	NA|	NA
libbison-dev |	GPL-3	|WICC4D|	Part of bison|	NA
libblas3 |	 BSD-3-Clause	|WICC4D CLI|	NA|	NA
libblas-common |	 BSD-3-Clause	|WICC4D CLI|	NA|	NA
libc6-dev |	 BSD-3-Clause	|WICC4D CLI|	NA|	NA
libcairo2 |	GPL-2	|WICC4D|	part of cairo|	NA
libcamlp4-ocaml-dev |	LGPL-2-exc	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/c/camlp4/camlp4_4.02.1+3-2/copyright
libcc1-0 |	GPL-3+	|openhub.net|	Part of gcc-5 - GNU Compiler Collection|	https://www.openhub.net/p/gcc
libc-dev-bin |	 BSD-3-Clause	|WICC4D CLI|	NA|	NA
libcloog-isl4 |	 GPL-2	|WICC4D|	NA|	NA
libcups2 |	 BSD-2-Clause,Zlib	|WICC4D CLI|	NA|	NA
libcupsfilters1 |	 BSD-4-Clause,MIT	|WICC4D CLI|	NA|	NA
libcupsimage2 |	 BSD-2-Clause,Zlib	|WICC4D CLI|	NA|	NA
libcurl3-gnutls |	 BSD-3-Clause,ISC	|WICC4D|	NA|	NA
libdatrie1 |	LGPL-2.1+, GPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libd/libdatrie/libdatrie_0.2.10-2/copyright
libdbi1 |	 BSD-Equivalent	|WICC4D|	part of libdb|	NA
libdbus-1-3 |	 AFL-2.1,BSD-3-Clause,GPL-2.0,MIT	|WICC4D CLI|	NA|	NA
libdpkg-perl |	GPL-3	|WICC4D|	Part of: dpkg|	NA
libdrm-dev |	 MIT	|WICC4D|	NA|	NA
liberror-perl |	Artistic and GPL	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libe/liberror-perl/liberror-perl_0.17-1.2/copyright
libexpat1 |	MITÂ 	|WICC4D|	part of expat |	NA
libexpat1-dev |	 MIT	|WICC4D CLI|	NA|	NA
libfakeroot |	GPL,Artistic	|ubuntu.com|	Part of: fakeroot|	http://changelogs.ubuntu.com/changelogs/pool/main/f/fakeroot/fakeroot_1.20.2-1ubuntu1/copyright
libffi6 |	MIT	|WICC4D|	Source package - libffi|	NA
libfile-fcntllock-perl |	GPL-1+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libf/libfile-fcntllock-perl/libfile-fcntllock-perl_0.22-3/copyright
libfindlib-ocaml |	findlib, ocaml	|WICC4D|	Part of findlib|	http://changelogs.ubuntu.com/changelogs/pool/universe/f/findlib/findlib_1.5.5-2build1/copyright
libfindlib-ocaml-dev |	findlib, ocaml	|WICC4D|	Part of findlib|	http://changelogs.ubuntu.com/changelogs/pool/universe/f/findlib/findlib_1.5.5-2build1/copyright
libfontconfig1 |	Webware Python	|WICC4D|	part of fontconfig|	NA
libfreetype6 |	 BSD-3-Clause,GPL-2.0,MIT,Zlib	|WICC4D CLI|	NA|	NA
libgcc-4.9-dev |	GPL-3+	|openhub.net|	NA|	https://www.openhub.net/p/gcc
libgcc-5-dev |	GPL-3+	|openhub.net|	Part of gcc-5 - GNU Compiler Collection|	https://www.openhub.net/p/gcc
libgdbm3 |	GPL-3+	|openhub.net|	NA|	https://www.openhub.net/p/libgdbm
libgfortran3 |	GPL-3	|WICC4D|	part of gcc|	NA
libgirepository-1.0-1 |	 BSD-2-Clause,MIT	|WICC4D CLI|	NA|	NA
libglib2.0-0 |	GPL-2,LGPL-2	|WICC4D|	part of glib|	NA
libglib2.0-bin |	LGPL	|WICC4D CLI|	part of glib|	NA
libgmp10 |	LGPL	|WICC4D|	Source package - gmp|	NA
libgomp1 |	GPL-3+	|openhub.net|	Part of gcc-5 - GNU Compiler Collection|	https://www.openhub.net/p/gcc
