Package |	License	|Source of License Information|	Comments|	License/Copyright Links/References
libboost1.55-all-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost1.55-tools-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-all-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-atomic1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-atomic1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-atomic1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-atomic1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-atomic-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-chrono1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-chrono1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-chrono1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-chrono1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-chrono-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-context1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-context1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-context1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-context1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-context-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-coroutine1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-coroutine1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-coroutine-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-date-time1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-date-time1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-date-time1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-date-time1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-date-time-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-exception1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-exception1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-exception-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-filesystem1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-filesystem1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-filesystem1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-filesystem1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-filesystem1.58.0 |	Boost	|WICC4D|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/b/boost1.58/boost1.58_1.58.0+dfsg-5ubuntu3/copyright
libboost-filesystem-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-graph1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-graph1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-graph1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-graph1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-graph-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-graph-parallel1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-graph-parallel1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-graph-parallel1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-graph-parallel1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-graph-parallel-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-iostreams1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-iostreams1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-iostreams1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-iostreams1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-iostreams-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-locale1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-locale1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-locale1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-locale1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-locale-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-log1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-log1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-log1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-log1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-log-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-math1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-math1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-math1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-math1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-math-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-mpi1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-mpi1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-mpi1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-mpi1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-mpi-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-mpi-python1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-mpi-python1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-mpi-python1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-mpi-python1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-mpi-python-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-program-options1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-program-options1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-program-options1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-program-options1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-program-options1.58.0 |	Boost 	|WICC4D UI|	Source Package boost|	NA
libboost-program-options-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-python1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-python1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-python1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-python1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-python-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-random1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-random1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-random1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-random1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-random-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-regex1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-regex1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-regex1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-regex1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-regex-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-serialization1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-serialization1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-serialization1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-serialization1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-serialization-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-signals1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-signals1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-signals1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-signals1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-signals-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-system1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-system1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-system1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-system1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-system1.58.0 |	Boost	|WICC4D|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/b/boost1.58/boost1.58_1.58.0+dfsg-5ubuntu3/copyright
libboost-system-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-test1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-test1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-test1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-test1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-test-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-thread1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-thread1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-thread1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-thread1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-thread1.58.0 |	Boost 	|WICC4D UI|	Source Package boost|	NA
libboost-thread-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-timer1.54.0 |	Boost	|WICC4D|	part of boost|	NA
libboost-timer1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-timer1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-timer1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-timer-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-tools-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-wave1.54-dev |	Boost	|WICC4D|	part of boost|	NA
libboost-wave1.55.0 |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-wave1.55-dev |	Boost, GPL-2.0, Public Domain, BSD-Equivalent	|WICC4D UI|	Source Package BOOST|	NA
libboost-wave-dev |	Boost	|WICC4D|	part of boost|	NA
libbsd0 |	BSD-4-Clause	|WICC4D|	part of libbsd|	https://www.openhub.net/p/libbsd
libbsd-dev |	BSD-4-Clause	|WICC4D|	part of libbsd|	NA
libbsf-java |	Ms-PL, MS-PL	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/libbsf-java/filelist
libbsh-java |	LGPL-2.1	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/b/bsh/bsh_2.0b4-17ubuntu1/copyright
libbytelist-java |	CPL-1.0 (Common public license) or GPL-2+ or LGPL-2.1+	|ubuntu.com|	NA|	http://packages.ubuntu.com/xenial/all/libbytelist-java/filelist
libbz2 |	GPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libj/libjpeg8-empty/libjpeg8-empty_8c-2ubuntu8/copyright
libbz2-dev |	BSD-4-clause	|WICC4D|	part of bzip2|	NA
libc6-dev |	GPL-2	|WICC4D|	part of glibc|	NA
libcairo2 |	GPL-2	|WICC4D|	part of cairo|	NA
libcairo2-dev |	GPL-2, LGPL-2	|WICC4D|	part of cairo|	NA
libcairo-gobject2 |	GPL-2.0	|WICC4D|	Base package cairo on WICC4D|	NA
libcairo-script-interpreter2 |	GPL-2, LGPL-2	|WICC4D|	part of cairo|	NA
libcanberra0 |	LGPL-2.1+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libc/libcanberra/libcanberra_0.30-2.1ubuntu1/copyright
libcap-dev |	BSD-3-Clause	|openhub.net|	Source Package libcap|	https://www.openhub.net/p/libcap
libcap-ng0 |	LGPL-2.1+, GPL-3	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libc/libcap-ng/libcap-ng_0.7.7-1/copyright
libcc1-0 |	GPL-3+	|openhub.net|	Part of gcc-5 - GNU Compiler Collection|	https://www.openhub.net/p/gcc
libc-dev-bin |	LGPL-2.1	|WICC4D|	libc6|	NA
libcdi-api-java |	Apache-2.0	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/c/cdi-api/cdi-api_1.0-2/copyright
libcdt5 |	EPL-1.0 ,MIT	|WICC4D|	part of graphviz|	NA
libcfg6 |	BSD-4-Clause-UC	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/c/corosync/corosync_2.3.5-3ubuntu1/copyright 
libcglib3-java |	Apache-2.0, BSD-3-Clause	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/c/cglib3/cglib3_3.1+dfsg-1/copyright
libcgraph6 |	EPL-1.0 ,MIT	|WICC4D|	part of graphviz|	NA
libclassworlds-java |	BSD-4-Clause	|WICC4D|	Source package - Classworlds|	NA
libcloog-isl4 |	LGPL-2.1	|source code|	http://www.cloog.org/|	http://www.bastoul.net/cloog/manual.php#License
libcmap4 |	BSD-4-Clause-UC	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/c/corosync/corosync_2.3.5-3ubuntu1/copyright 
libcolord2 |	GPL-2.0+, LGPL-2.1+	|ubuntu.com|	Different files are licensed differently. For example: Files: lib/colord/* are under LGPL-2.1+ and so on|	http://changelogs.ubuntu.com/changelogs/pool/main/c/colord/colord_1.2.12-1ubuntu1/copyright
libcolorhug2 |	GPL-2.0+, LGPL-2.1+	|ubuntu.com|	Different files are licensed differently. For example: Files: lib/colord/* are under LGPL-2.1+ and so on|	http://changelogs.ubuntu.com/changelogs/pool/main/c/colord/colord_1.2.12-1ubuntu1/copyright
libcommons-cli-java |	Apache-2.0	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/libc/libcommons-cli-java/libcommons-cli-java_1.3.1-3ubuntu1/copyright
libcommons-codec-java |	Apache-2.0	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/libc/libcommons-codec-java/libcommons-codec-java_1.10-1/copyright
libcommons-dbcp-java |	Apache-2.0	|WICC4D|	Apache Commons DBCP on WICC4D|	NA
libcommons-httpclient-java |	Apache 2.0	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/c/commons-httpclient/commons-httpclient_3.1-12/copyright
libcommons-io-java |	Apache 2.0	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/c/commons-io/commons-io_2.4-2/copyright
libcommons-lang3-java |	Apache-2.0	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/libc/libcommons-lang3-java/libcommons-lang3-java_3.4-1/copyright
libcommons-lang-java |	Apache-2.0	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/libc/libcommons-lang-java/libcommons-lang-java_2.6-6ubuntu2/copyright
libcommons-logging-java |	Apache-2.0	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/libc/libcommons-logging-java/libcommons-logging-java_1.2-1+build1/copyright
libcommons-net2-java |	Apache-2.0	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/libc/libcommons-net2-java/libcommons-net2-java_2.2-2/copyright
libcommons-net-java |	Apache-2.0	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/libc/libcommons-net-java/libcommons-net-java_3.4-2ubuntu2/copyright
libcommons-parent-java |	Apache-2.0	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/c/commons-parent/commons-parent_39-3/copyright
libcommons-pool-java |	Apache-2.0	|WICC4D|	Apache Commons Pool on WICC4D|	NA
libcorosync-common4 |	BSD-4-Clause-UC	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/c/corosync/corosync_2.3.5-3ubuntu1/copyright
libcpg4 |	BSD-4-Clause-UC	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/c/corosync/corosync_2.3.5-3ubuntu1/copyright
libcroco3 |	LGPL	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libc/libcroco/libcroco_0.6.11-1/copyright
libcups2 |	GPL-2+	|WICC4D|	part of cups|	NA
libcupsfilters1 |	GPL-2+	|debian.org|	NA|	http://ftp-master.metadata.debian.org/changelogs//main/c/cups-filters/cups-filters_1.11.4-1_copyright
libcupsimage2 |	GPL-2 with exceptions	|debian.org|	NA|	http://metadata.ftp-master.debian.org/changelogs//main/c/cups/cups_1.5.3-5+deb7u6_copyright
libcurl3 |	MIT	|WICC4D|	part of curl|	NA
libcurl3-dev |	MIT-Equivalent	|WICC4D|	Upstream-Name: curl|	NA
libcurl3-gnutls |	MIT	|WICC4D|	part of curl|	NA
libcurl4-openssl-dev |	MIT	|WICC4D|	part of curl|	NA
libdatrie1 |	LGPL-2.1+, GPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libd/libdatrie/libdatrie_0.2.10-2/copyright
libdbd-mysql-perl |	GPL-2.0	|WICC4D|	NA|	NA
libdbi-perl |	LGPL-2.0	|WICC4D|	part of DBI|	NA
libdbus-1-3 |	AFL	|WICC4D|	part of dbus|	NA
libdbus-glib-1-2 |	AFL	|ubuntu.com|	part of dbus-glib|	NA
libdconf1 |	LGPL-2+, GPL-3+	|ubuntu.com|	Different files are licensed differently. Example:Files: * are LGPL-2+,     Files: dbus-1/dconf-dbus-1.* are GPL-3+|	http://changelogs.ubuntu.com/changelogs/pool/main/d/d-conf/d-conf_0.24.0-2/copyright
libdjvulibre21 |	GPL-3	|ubuntu.com|	NA|	NA
libdjvulibre-dev |	 GPL-2.0	|debian.org|	NA|	http://metadata.ftp-master.debian.org/changelogs/main/d/djvulibre/djvulibre_3.5.27.1-7_copyright
libdjvulibre-text |	 GPL-2.0	|ubuntu.com|	NA|	http://djvu.sourceforge.net/licensing.html
libdns-export162 |	GPL-2.0+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/b/bind9/bind9_9.10.3.dfsg.P4-8ubuntu1.2/copyright
libdom4j-java |	DOM4J	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/d/dom4j/dom4j_1.6.1+dfsg.3-2ubuntu1/copyright
libdouble-conversion1v5 |	BSD-4-Clause	|WICC4D|	part of  double-conversion |	NA
libdoxia-core-java |	GPL-2, Apache-2.0	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/d/doxia/doxia_1.1.4-3ubuntu1/copyright
libdpkg-perl |	GPL-2+, GPL-2, BSD-2-clause, public-domain-s-s-d, public-domain-md5	|ubuntu.com|	Most of the source files are provided under GPL-2. However, some files are under other License. Example: Files: scripts/Dpkg/Gettext.pm have public-domain-s-s-d license Files: lib/compat/md5.* are under public-domain-md5|	http://changelogs.ubuntu.com/changelogs/pool/main/d/dpkg/dpkg_1.18.4ubuntu1/copyright
libdrm2 |	MIT	|openhub.net|	NA|	https://www.openhub.net/p/libdrm
libdrm-amdgpu |	MIT	|openhub.net|	llvm on openhub.net|	https://www.openhub.net/p?query=libdrm&sort=relevance
libdrm-amdgpu1 |	Open Source	|ubuntu.com|	No clear-cut licensing information|	http://changelogs.ubuntu.com/changelogs/pool/main/libd/libdrm/libdrm_2.4.67-1/copyright
libdrm-dev |	Open Source	|ubuntu.com|	No clear-cut licensing information|	http://changelogs.ubuntu.com/changelogs/pool/main/libd/libdrm/libdrm_2.4.67-1/copyright
libdrm-nouveau2 |	MIT	|openhub.net|	NA|	https://www.openhub.net/p/libdrm
libdrm-radeon1 |	MIT	|openhub.net|	NA|	https://www.openhub.net/p/libdrm
libeasymock-java |	Apache-2.0	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/e/easymock/easymock_3.3.1+ds-3/copyright
libecj-java |	EPL-1.0	|WICC4D|	part of ecj|	NA
libeclipse-aether-java |	EPL-1.0, Apache-2.0	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/e/eclipse-aether/eclipse-aether_1.0.2-1/copyright
libedit2 |	BSD-3-clause	|WICC4D|	part of libedit|	NA
libegl1-mesa |	MIT	|WICC4D|	Source package mesa on WICC4D|	http://changelogs.ubuntu.com/changelogs/pool/main/m/mesa/mesa_11.2.0-1ubuntu2/copyright
libelasticsearch1.7-java |	Apache-2.0	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/universe/e/elasticsearch/elasticsearch_1.7.3+dfsg-3/copyright
libelf1 |	GPL-2.0+, GPL-3.0+, LGPL-3.0+	|openhub.net|	NA|	https://www.openhub.net/p/elfutils
libelf1  |	GPL-2.0+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/e/elfutils/elfutils_0.165-3ubuntu1/copyright
libelfg0 |	LGPL-2	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libe/libelf/libelf_0.8.13-5/copyright
libencode-locale-perl |	Artistic or GPL-1	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libe/libencode-locale-perl/libencode-locale-perl_1.05-1/copyright
libepoxy0 |	Expat	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libe/libepoxy/libepoxy_1.3.1-1/copyright
liberror-perl |	Artistic-1 and GPL-1+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libe/liberror-perl/liberror-perl_0.17-1.2/copyright
libevdev2 |	X11,GPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libe/libevdev/libevdev_1.4.6+dfsg-1/copyright
libexif12 |	LGPL-2.1, GPL	|ubuntu.com|	Different files are licensed differently. Example: Files: * are under LGPL-2.1 while Files: debian/* are under GPL|	http://changelogs.ubuntu.com/changelogs/pool/main/libe/libexif/libexif_0.6.21-2/copyright
libexif-dev |	 LGPL-2.1+, BSD-2-Clause	|debian.org|	NA|	http://metadata.ftp-master.debian.org/changelogs/main/libe/libexif/libexif_0.6.21-2_copyright
libexpat1 |	MITÂ 	|WICC4D|	part of expat |	NA
libexpat1-dev |	MIT	|WICC4D|	part of expat|	NA
libexpat1-dev  |	MIT-Equivalent	|WICC4D|	Source Package expat|	NA
libfakeroot |	GPL-3+	|ubuntu.com|	part of fakeroot|	http://changelogs.ubuntu.com/changelogs/pool/main/f/fakeroot/fakeroot_1.20.2-1ubuntu1/copyright
libffi6 |	MIT	|WICC4D|	Source package - libffi|	NA
libffi6  |	MITÂ 	|WICC4D|	part of libffi |	NA
libffi-dev |	MIT	|WICC4D|	NA|	NA
libfftw3-double3 |	 GPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/f/fftw3/fftw3_3.3.4-2ubuntu1/copyright
libfile-fcntllock-perl |	GPL-1+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libf/libfile-fcntllock-perl/libfile-fcntllock-perl_0.22-3/copyright
libfile-listing-perl |	Artistic or GPL-1	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libf/libfile-listing-perl/libfile-listing-perl_6.04-1/copyright
libfile-mimeinfo-perl |	Artistic or GPL-1	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libf/libfile-mimeinfo-perl/libfile-mimeinfo-perl_0.27-1/copyright
libflac8 |	BSD-3-Clause, GPL-2.0+	|openhub.net|	NA|	https://www.openhub.net/p/flac
libfont-afm-perl |	Artistic or GPL-1	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/libf/libfont-afm-perl/libfont-afm-perl_1.20-1/copyright
libfontconfig1 |	Webware Python	|WICC4D|	part of fontconfig|	NA
libfontconfig1-dev |	Webware Python	|WICC4D|	part of fontconfig|	NA
libfontenc1 |	MIT	|WICC4D|	part of fontconfig|	NA
libfreetype6 |	Freetype	|WICC4D|	part of freetype|	NA
libfreetype6-dev |	Freetype	|WICC4D|	part of freetype|	NA
libgbm1 |	MIT	|WICC4D|	Source package mesa on WICC4D|	NA
libgcc-4.8-dev |	GPL-3	|WICC4D|	part of gcc|	NA
libgcc-5-dev |	GPL-3+	|openhub.net|	Part of gcc-5 - GNU Compiler Collection|	https://www.openhub.net/p/gcc
libgconf2-4 |	LGPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/g/gconf/gconf_3.2.6-3ubuntu6/copyright
libgconf-2-4 |	LGPL-2+	|ubuntu.com|	NA|	http://changelogs.ubuntu.com/changelogs/pool/main/g/gconf/gconf_3.2.6-3ubuntu6/copyright
libgcrypt11-dev |	GPL-2, LGPL-2	|source code|	part of libgrypt|	https://gnupg.org/documentation/manuals/gcrypt/
libgd3 |	BSD-3-Clause	|WICC4D|	NA|	NA
libgdbm3 |	GPL-3+	|openhub.net|	NA|	https://www.openhub.net/p/libgdbm
libgdk-pixbuf2.0-0 |	GPL-2	|WICC4D|	part of gdk-pixbuf2|	NA
